split	auprc_proxy	auroc_proxy	n_pos_seed	n_total
train	0.9460954801806323	0.9433579985905567	86	218
val	0.9128362573099414	0.9037037037037037	15	33
test	0.9419834607443975	0.9122807017543859	21	40
